,Tweet,Username,Jumlah Status,Username Target,Date,Followers,Following,retweet,fav
0,Baru daftar @jadijago. Disuruh bikin pin kemudian pas mau buka aplikasi jago lagi kok halaman pin ngeglitch ya min? Sayang banget user experience nya rusak gara gara hal sepele,amzarmahdi,408,,2022-09-29 23:38:32+00:00,1,13,0,0
1,kok skrg bank jago ada fee nya ajg kalo transfer mana 2.5k,denkozip,2621,,2022-09-29 23:27:23+00:00,24,67,0,0
2,"@fdmncfdmnc Wkwk mandatory project tuh tiap batch. Mungkin nanti lo bakal ketemu bank jago, amartha, sampai kitabisa 😂",siregrawr,21120,fdmncfdmnc,2022-09-29 16:18:21+00:00,196,424,0,0
,Tweet,Username,Jumlah Status,Username Target,Date,Followers,Following,retweet,fav
0,Baru daftar @jadijago. Disuruh bikin pin kemudian pas mau buka aplikasi jago lagi kok halaman pin ngeglitch ya min? Sayang banget user experience nya rusak gara gara hal sepele,amzarmahdi,408,,2022-09-29 23:38:32+00:00,1,13,0,0
1,kok skrg bank jago ada fee nya ajg kalo transfer mana 2.5k,denkozip,2621,,2022-09-29 23:27:23+00:00,24,67,0,0
2,"@fdmncfdmnc Wkwk mandatory project tuh tiap batch. Mungkin nanti lo bakal ketemu bank jago, amartha, sampai kitabisa 😂",siregrawr,21120,fdmncfdmnc,2022-09-29 16:18:21+00:00,196,424,0,0
,Tweet,Username,Jumlah Status,Username Target,Date,Followers,Following,retweet,fav
0,Baru daftar @jadijago. Disuruh bikin pin kemudian pas mau buka aplikasi jago lagi kok halaman pin ngeglitch ya min? Sayang banget user experience nya rusak gara gara hal sepele,amzarmahdi,408,,2022-09-29 23:38:32+00:00,1,13,0,0
1,kok skrg bank jago ada fee nya ajg kalo transfer mana 2.5k,denkozip,2621,,2022-09-29 23:27:23+00:00,24,67,0,0
2,"@fdmncfdmnc Wkwk mandatory project tuh tiap batch. Mungkin nanti lo bakal ketemu bank jago, amartha, sampai kitabisa 😂",siregrawr,21120,fdmncfdmnc,2022-09-29 16:18:21+00:00,196,424,0,0
